ID,Site ID,Indoor/Outdoor
5901,KL5036,Lamp Pole
5900,KE0395,N/A
5899,KE0395,N/A
5898,PO0135,N/A
5895,AN0416,N/A
5894,CM1130,Outdoor
5893,VA5034,Lamp Pole
5892,VA5033,Lamp Pole
5891,VA5020,Lamp Pole
5890,VA5017,Lamp Pole
5889,VA5014,Lamp Pole
5888,VA5010,Lamp Pole
5887,VA5009,Lamp Pole
5886,VA5003,Lamp Pole
5885,VA5002,Lamp Pole
5884,VA0135,Outdoor
5883,VA0132,Indoor
5882,VA0131,Outdoor
5881,VA0075,Indoor
5880,TR5009,Lamp Pole
5879,TR0205,Outdoor
5878,TR0204,Outdoor
5877,TR0203,Outdoor
5876,TR0202,Indoor
5875,TR0201,Indoor
5874,TR0200,Indoor
5873,TR0199,Outdoor
5872,TR0198,Outdoor
5871,TR0197,Outdoor
5870,TR0196,Outdoor
5869,TR0195,Outdoor
5868,TR0194,Outdoor
5867,TR0193,Outdoor
5866,TR0192,Outdoor
5865,TR0191,Outdoor
5864,TR0190,Indoor
5863,TR0169,Outdoor
5862,TR0168,Outdoor
5861,TR0121,Outdoor
5860,RA0312,Outdoor
5859,RA0311,Outdoor
5858,RA0310,Outdoor
5857,RA0307,Outdoor
5856,RA0306,Outdoor
5855,RA0305,Indoor
5854,RA0304,Indoor
5853,RA0303,Indoor
5852,RA0302,Indoor
5851,RA0301,Indoor
5850,RA0300,Outdoor
5849,RA0299,Outdoor
5848,RA0298,Outdoor
5847,RA0297,Outdoor
5846,RA0294,Indoor
5845,RA0267,Outdoor
5844,RA0183,Outdoor
5843,RA0100,Outdoor
5842,PU5071,Lamp Pole
5841,PU5043,Lamp Pole
5840,PU5041,Lamp Pole
5839,PU5038,Lamp Pole
5838,PU0345,Outdoor
5837,PU0344,Outdoor
5836,PU0343,Outdoor
5835,PU0342,Indoor
5834,PU0341,Outdoor
5833,PU0340,Outdoor
5832,PU0339,Outdoor
5831,PU0338,Outdoor
5830,PU0337,Outdoor
5829,PU0336,Outdoor
5828,PU0335,Outdoor
5827,PU0334,Outdoor
5826,PU0333,Outdoor
5825,PU0332,Indoor
5824,PU0331,Outdoor
5823,PU0329,Outdoor
5822,PU0328,Indoor
5821,PU0327,Outdoor
5820,PU0326,Outdoor
5819,PU0313,Outdoor
5818,PU0311,Indoor
5817,PU0308,Outdoor
5816,PU0302,Outdoor
5815,PU0230,Indoor
5814,PU0221,Outdoor
5813,PU0199,Outdoor
5812,PU0191,Outdoor
5811,PU0188,Outdoor
5810,PO5079,Lamp Pole
5809,PO5077,Lamp Pole
5808,PO5076,Lamp Pole
5807,PO5075,Lamp Pole
5806,PO5058,Lamp Pole
5805,PO5056,Lamp Pole
5804,PO5054,Lamp Pole
5803,PO5053,Lamp Pole
5802,PO5052,Lamp Pole
5801,PO5051,Lamp Pole
5800,PO5050,Lamp Pole
5799,PO5049,Lamp Pole
5798,PO5048,Lamp Pole
5797,PO5041,Lamp Pole
5796,PO5038,Lamp Pole
5795,PO5030,Lamp Pole
5794,PO5026,Lamp Pole
5793,PO5023,Lamp Pole
5792,PO5022,Lamp Pole
5791,PO5013,Lamp Pole
5790,PO0217,Indoor
5789,PO0216,Outdoor
5788,PO0215,Indoor
5787,PO0214,Indoor
5786,PO0213,Outdoor
5785,PO0211,Indoor
5784,PO0210,Indoor
5783,NU5086,Lamp Pole
5782,NU5042,Lamp Pole
5781,NU0265,Outdoor
5780,NU0264,Outdoor
5779,NU0263,Outdoor
5778,NU0262,Outdoor
5777,NU0261,Outdoor
5776,NU0260,Outdoor
5775,NU0259,Indoor
5774,NU0258,Outdoor
5773,NU0257,Outdoor
5772,NU0256,Outdoor
5771,NU0241,Outdoor
5770,NU0231,Outdoor
5769,NU0176,Outdoor
5768,NU0162,Indoor
5767,NU0139,Outdoor
5766,MU5043,Lamp Pole
5765,MU0124,Lamp Pole
5764,MT5064,Lamp Pole
5763,MT5052,Lamp Pole
5762,MT5047,Lamp Pole
5761,MT5045,Lamp Pole
5760,MT5007,Lamp Pole
5759,MT0246,Outdoor
5758,MT0245,Outdoor
5757,MT0244,Outdoor
5756,MT0243,Outdoor
5755,MT0242,Indoor
5754,MT0241,Outdoor
5753,MT0240,Indoor
5752,MT0239,Outdoor
5751,MT0238,Outdoor
5750,MT0205,Outdoor
5749,MT0203,Lamp Pole
5748,MT0173,Outdoor
5747,MT0137,Outdoor
5746,MR0264,Outdoor
5745,MR0263,Indoor
5744,MR0261,Outdoor
5743,MR0259,Outdoor
5742,MR0249,Outdoor
5741,MR0244,Outdoor
5740,MR0219,Outdoor
5739,MR0188,Outdoor
5738,MR0161,Indoor
5737,MR0136,Outdoor
5736,MO0191,Outdoor
5735,MO0190,Outdoor
5734,MO0189,Indoor
5733,MO0046,Outdoor
5732,MO0030,Outdoor
5731,MA5015,Lamp Pole
5730,MA0081,Outdoor
5729,MA0080,Indoor
5728,MA0034,Outdoor
5727,KU5151,Lamp Pole
5726,KU5144,Lamp Pole
5725,KU5136,Lamp Pole
5724,KU0677,Indoor
5723,KU0676,Outdoor
5722,KU0675,Indoor
5721,KU0674,Indoor
5720,KU0673,Indoor
5719,KU0672,Outdoor
5718,KU0671,Outdoor
5717,KU0670,Indoor
5716,KU0669,Outdoor
5715,KU0668,Outdoor
5714,KU0667,Outdoor
5713,KU0666,Outdoor
5712,KU0665,Outdoor
5711,KU0664,Outdoor
5710,KU0663,Outdoor
5709,KU0662,Indoor
5708,KU0661,Outdoor
5707,KU0597,Outdoor
5706,KU0577,Indoor
5705,KU0572,Outdoor
5704,KU0531,Indoor
5703,KU0506,Outdoor
5702,KU0482,Indoor
5701,KU0430,Outdoor
5700,KU0230,Outdoor
5699,KL5058,Lamp Pole
5698,KL5030,Lamp Pole
5697,KL5011,Lamp Pole
5696,KL0408,Outdoor
5695,KL0407,Outdoor
5694,KL0406,Outdoor
5693,KL0405,Outdoor
5692,KL0404,Indoor
5691,KL0403,Indoor
5690,KL0402,Outdoor
5689,KL0401,Outdoor
5688,KL0400,Indoor
5687,KL0399,Outdoor
5686,KL0186,Indoor
5685,KL0159,N/A
5684,KI0117,Outdoor
5683,KI0115,Outdoor
5682,KI0078,Outdoor
5681,KE5077,Lamp Pole
5680,KE0407,Outdoor
5679,KE0406,Indoor
5678,KE0405,Outdoor
5677,KE0404,Outdoor
5676,KE0403,Indoor
5675,KE0402,Indoor
5674,KE0401,Indoor
5673,KE0400,Indoor
5672,KE0399,Outdoor
5671,KE0396,Indoor
5670,KE0394,Outdoor
5669,KE0393,Outdoor
5668,KE0385,Outdoor
5667,KE0296,Outdoor
5666,KE0156,Outdoor
5665,KA5142,Lamp Pole
5664,KA5043,Lamp Pole
5663,KA0636,Indoor
5662,KA0635,Outdoor
5661,KA0634,Indoor
5660,KA0633,Indoor
5659,KA0632,Outdoor
5658,KA0631,Outdoor
5657,KA0630,Outdoor
5656,KA0629,Outdoor
5655,KA0628,Indoor
5654,KA0627,Outdoor
5653,KA0626,Outdoor
5652,KA0625,Outdoor
5651,KA0624,Outdoor
5650,KA0623,Indoor
5649,KA0622,Outdoor
5648,KA0621,Outdoor
5647,KA0620,Indoor
5646,KA0619,Outdoor
5645,KA0618,Outdoor
5644,KA0617,Outdoor
5643,KA0616,Outdoor
5642,KA0615,Outdoor
5641,KA0613,Indoor
5640,KA0612,Outdoor
5639,KA0611,Outdoor
5638,KA0610,Outdoor
5637,KA0609,Outdoor
5636,KA0608,Outdoor
5635,KA0607,Outdoor
5634,KA0600,Outdoor
5633,KA0586,Outdoor
5632,KA0566,Outdoor
5631,KA0496,Outdoor
5630,KA0484,Outdoor
5629,KA0392,Indoor
5628,KA0381,Outdoor
5627,KA0378,Outdoor
5626,KA0368,Outdoor
5625,KA0361,Indoor
5624,KA0358,Outdoor
5623,KA0340,Outdoor
5622,KA0339,Outdoor
5621,KA0177,Indoor
5620,KA0137,Outdoor
5619,JA5101,Lamp Pole
5618,JA5053,Lamp Pole
5617,JA5025,Lamp Pole
5616,JA5024,Lamp Pole
5615,JA5022,Lamp Pole
5614,JA5017,Lamp Pole
5613,JA5013,Lamp Pole
5612,JA5008,Lamp Pole
5611,JA0315,Outdoor
5610,JA0314,Outdoor
5609,JA0313,Outdoor
5608,JA0312,Outdoor
5607,JA0310,Outdoor
5606,JA0309,Outdoor
5605,JA0308,Indoor
5604,JA0307,Outdoor
5603,JA0306,Outdoor
5602,JA0305,Outdoor
5601,JA0262,Outdoor
5600,JA0178,Indoor
5599,JA0166,Outdoor
5598,HA5008,Lamp Pole
5597,HA5004,Lamp Pole
5596,HA0244,Outdoor
5595,HA0065,Outdoor
5594,GM5287,Lamp Pole
5593,GM5226,Lamp Pole
5592,GM5202,Lamp Pole
5591,GM5180,Lamp Pole
5590,GM5179,Lamp Pole
5589,GM5158,Lamp Pole
5588,GM5093,Lamp Pole
5587,GM1186,Outdoor
5586,GM1185,Outdoor
5585,GM1184,Indoor
5584,GM1183,Outdoor
5583,GM1182,Indoor
5582,GM1181,Indoor
5581,GM1180,Outdoor
5580,GM1178,Outdoor
5579,GM1177,Indoor
5578,GM1175,Indoor
5577,GM1173,Outdoor
5576,GM1172,Indoor
5575,GM1171,Indoor
5574,GM1170,Indoor
5573,GM1169,Outdoor
5572,GM1168,Outdoor
5571,GM1167,Outdoor
5570,GM1166,Indoor
5569,GM1164,Indoor
5568,GM1163,Outdoor
5567,GM1162,Indoor
5566,GM1161,Outdoor
5565,GM1160,Indoor
5564,GM1158,Outdoor
5563,GM1157,Indoor
5562,GM1155,Outdoor
5561,GM1154,Outdoor
5560,GM1153,Outdoor
5559,GM1152,Outdoor
5558,GM1147,Outdoor
5557,GM1146,Indoor
5556,GM1145,Indoor
5555,GM1144,Outdoor
5554,GM1143,Outdoor
5553,GM1142,Outdoor
5552,GM1141,Indoor
5551,GM1140,Indoor
5550,GM1139,Indoor
5549,GM1138,Outdoor
5548,GM1137,Indoor
5547,GM1136,Indoor
5546,GM1134,Outdoor
5545,GM1133,Outdoor
5544,GM1130,Outdoor
5543,GM1129,Indoor
5542,GM1128,Outdoor
5541,GM1127,Outdoor
5540,GM1126,Indoor
5539,GM1118,Outdoor
5538,GM1112,Indoor
5537,GM1107,Indoor
5536,GM1086,Outdoor
5535,GM1028,Indoor
5534,GM1020,Indoor
5533,GM0929,Indoor
5532,GM0908,Indoor
5531,GM0905,Outdoor
5530,GM0753,Outdoor
5529,GM0740,Outdoor
5528,GM0609,Outdoor
5527,GM0583,Outdoor
5526,GM0502,Outdoor
5525,GM0482,Indoor
5524,GM0429,Outdoor
5523,GM0398,Outdoor
5522,GM0368,Indoor
5521,GM0317,Outdoor
5520,GA5073,Lamp Pole
5519,GA5072,Lamp Pole
5518,GA5033,Lamp Pole
5517,GA5031,Lamp Pole
5516,GA5004,Lamp Pole
5515,GA0349,Indoor
5514,GA0348,Indoor
5513,GA0347,Outdoor
5512,GA0345,Outdoor
5511,GA0343,Outdoor
5510,GA0331,Outdoor
5509,GA0327,Indoor
5508,GA0313,Lamp Pole
5507,GA0259,Outdoor
5506,GA0160,Outdoor
5505,GA0150,Indoor
5504,GA0104,Outdoor
5503,GA0072,Outdoor
5502,CM5715,Lamp Pole
5501,CM5713,Lamp Pole
5500,CM5708,Lamp Pole
5499,CM5538,Lamp Pole
5498,CM5187,Lamp Pole
5497,CM5165,Lamp Pole
5496,CM5055,Lamp Pole
5495,CM2500,Indoor
5494,CM2499,Outdoor
5493,CM2498,Indoor
5492,CM2497,Indoor
5491,CM2496,Indoor
5490,CM2495,Outdoor
5489,CM2494,Outdoor
5488,CM2493,Outdoor
5487,CM2492,Indoor
5486,CM2491,Outdoor
5485,CM2490,Outdoor
5484,CM2489,Indoor
5483,CM2487,Outdoor
5482,CM2486,Outdoor
5481,CM2484,Indoor
5480,CM2481,Indoor
5479,CM2480,Indoor
5478,CM2479,Indoor
5477,CM2478,Outdoor
5476,CM2477,Outdoor
5475,CM2475,Outdoor
5474,CM2474,Indoor
5473,CM2473,Outdoor
5472,CM2471,Outdoor
5471,CM2470,Indoor
5470,CM2469,Indoor
5469,CM2468,Outdoor
5468,CM2467,Indoor
5467,CM2466,Indoor
5466,CM2465,Outdoor
5465,CM2464,Indoor
5464,CM2463,Indoor
5463,CM2462,Indoor
5462,CM2461,Outdoor
5461,CM2460,Indoor
5460,CM2458,Outdoor
5459,CM2457,Outdoor
5458,CM2456,Indoor
5457,CM2455,Outdoor
5456,CM2454,Indoor
5455,CM2453,Indoor
5454,CM2452,Outdoor
5453,CM2451,Outdoor
5452,CM2450,Outdoor
5451,CM2423,Outdoor
5450,CM2421,Indoor
5449,CM2417,Indoor
5448,CM2416,Indoor
5447,CM2411,Lamp Pole
5446,CM2410,Lamp Pole
5445,CM2402,Indoor
5444,CM2401,Indoor
5443,CM2395,Indoor
5442,CM2380,Outdoor
5441,CM2344,Outdoor
5440,CM2341,N/A
5439,CM2336,Indoor
5438,CM2317,Indoor
5437,CM2268,Indoor
5436,CM2256,Indoor
5435,CM2253,Outdoor
5434,CM2241,Outdoor
5433,CM2237,Outdoor
